Model,ROC-AUC,Avg Precision,Accuracy,Default Precision,Default Recall,Default F1
Random Forest,0.833,0.3041,0.8897,0.3153,0.5009,0.387
XGBoost,0.8154,0.3091,0.9211,0.4024,0.2801,0.3303
