Model,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean AUC,Std
Random Forest,0.9636,0.9641,0.9639,0.9638,0.9628,0.9636,0.0004
XGBoost,0.9784,0.9793,0.9786,0.9786,0.9776,0.9785,0.0005
